City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
238,Maniitsoq,GL,2021-09-17 14:56:57,65.4167,-52.9,37.81,39,1,0.43,clear sky
239,Codrington,AU,2021-09-17 14:56:33,-38.2667,141.9667,51.71,79,35,17.81,scattered clouds
240,Airai,TL,2021-09-17 14:54:52,-8.9266,125.4092,57.54,65,20,3.31,few clouds
241,Kenai,US,2021-09-17 14:58:56,60.5544,-151.2583,46.15,93,26,5.97,scattered clouds
242,Port Hardy,CA,2021-09-17 14:55:22,50.6996,-127.4199,51.8,87,90,17.27,light rain
243,Huancabamba,PE,2021-09-17 14:58:56,-5.2386,-79.4506,60.69,82,100,8.55,overcast clouds
244,Quang Ngai,VN,2021-09-17 14:58:56,15.1167,108.8,77.65,90,92,3.71,overcast clouds
245,Berlevag,NO,2021-09-17 14:56:18,70.8578,29.0864,42.6,68,100,13.51,overcast clouds
246,Faanui,PF,2021-09-17 14:55:58,-16.4833,-151.75,78.64,72,5,23.69,light rain
247,Sicuani,PE,2021-09-17 14:58:57,-14.2694,-71.2261,55.04,46,98,3.38,overcast clouds
248,Contamana,PE,2021-09-17 14:58:57,-7.3333,-75.0167,85.35,55,88,2.46,overcast clouds
249,Jozefow,PL,2021-09-17 14:58:58,52.1371,21.2359,66.07,76,75,11.5,broken clouds
250,Puerto Escondido,MX,2021-09-17 14:55:10,15.85,-97.0667,82.76,75,87,3.4,overcast clouds
251,Krasnoarmeysk,RU,2021-09-17 14:58:58,51.0239,45.6969,51.3,46,77,6.22,broken clouds
252,Port Lincoln,AU,2021-09-17 14:57:26,-34.7333,135.8667,55.4,53,59,21.85,broken clouds
253,Merrill,US,2021-09-17 14:58:58,45.1805,-89.6835,70.03,68,1,8.05,clear sky
254,Matsumoto,JP,2021-09-17 14:58:59,36.2333,137.9667,65.86,97,100,4.92,heavy intensity rain
255,Kundiawa,PG,2021-09-17 14:58:59,-6.0167,144.9667,60.76,98,74,1.66,broken clouds
256,Kavieng,PG,2021-09-17 14:55:47,-2.5744,150.7967,81.91,79,48,16.53,light rain
257,Namibe,AO,2021-09-17 14:54:17,-15.1961,12.1522,70.43,78,40,13.8,scattered clouds
258,Cotonou,BJ,2021-09-17 14:58:59,6.3654,2.4183,82.38,83,40,12.66,scattered clouds
259,Kangaatsiaq,GL,2021-09-17 14:59:00,68.3065,-53.4641,30.47,59,8,7.72,clear sky
260,Salalah,OM,2021-09-17 14:56:37,17.0151,54.0924,80.49,89,100,6.24,overcast clouds
261,Saint-Joseph,RE,2021-09-17 14:57:58,-21.3667,55.6167,73.78,78,31,2.91,scattered clouds
